Inserted List,ORF Name,Gene Name
YOR224C,YOR224C,RPB8
YOR225W,YOR225W,YOR225W
YOR226C,YOR226C,ISU2
YOR227W,YOR227W,HER1
YOR228C,YOR228C,MCP1
YOR229W,YOR229W,WTM2
YOR230W,YOR230W,WTM1
YOR231W,YOR231W,MKK1
YOR232W,YOR232W,MGE1
YOR233W,YOR233W,KIN4
YOR234C,YOR234C,RPL33b
YOR235W,YOR235W,YOR235W
YOR236W,YOR236W,DFR1
YOR237W,YOR237W,HES1
YOR238W,YOR238W,YOR238W
YOR239W,YOR239W,ABP140
YOR240W,YOR239W,YOR240W
YOR241W,YOR241W,MET7
YOR242C,YOR242C,SSP2
YOR243C,YOR243C,PUS7
YOR244W,YOR244W,ESA1
YOR245C,YOR245C,DGA1
YOR246C,YOR246C,ENV9
YOR247W,YOR247W,SRL1
YOR248W,YOR248W,YOR248W
YOR249C,YOR249C,APC5
YOR250C,YOR250C,CLP1
YOR251C,YOR251C,TUM1
YOR252W,YOR252W,TMA16
YOR253W,YOR253W,NAT5
YOR254C,YOR254C,SEC63
YOR255W,YOR255W,OSW1
YOR256C,YOR256C,TRE2
YOR257W,YOR257W,CDC31
YOR258W,YOR258W,HNT3
YOR259C,YOR259C,RPT4
YOR260W,YOR260W,GCD1
YOR261C,YOR261C,RPN8
YOR262W,YOR262W,GPN2
YOR263C,YOR263C,YOR263C
YOR264W,YOR264W,DSE3
YOR265W,YOR265W,RBL2
YOR266W,YOR266W,PNT1
YOR267C,YOR267C,HRK1
YOR268C,YOR268C,YOR268C
YOR269W,YOR269W,PAC1
YOR270C,YOR270C,VPH1
YOR271C,YOR271C,FSF1
YOR272W,YOR272W,YTM1
YOR273C,YOR273C,TPO4
YOR274W,YOR274W,MOD5
YOR275C,YOR275C,RIM20
YOR276W,YOR276W,CAF20
YOR277C,YOR277C,YOR277C
YOR278W,YOR278W,HEM4
YOR279C,YOR279C,RFM1
YOR280C,YOR280C,FSH3
YOR281C,YOR281C,PLP2
YOR282W,YOR282W,YOR282W
YOR283W,YOR283W,YOR283W
YOR284W,YOR284W,HUA2
YOR285W,YOR285W,RDL1
YOR286W,YOR286W,RDL2
YOR287C,YOR287C,RRP36
YOR288C,YOR288C,MPD1
YOR289W,YOR289W,YOR289W
YOR290C,YOR290C,SNF2
YOR291W,YOR291W,YPK9
YOR292C,YOR292C,YOR292C
