Inserted List,,ORF Name,Gene Name
SSK22,,YCR073C,SSK22
SOL2,,YCR073W-A,SOL2
ERS1,,YCR075C,ERS1
FUB1,,YCR076C,FUB1
PAT1,,YCR077C,PAT1
PTC6,,YCR079W,PTC6
SRB8,,YCR081W,SRB8
AHC2,,YCR082W,AHC2
TRX3,,YCR083W,TRX3
TUP1,,YCR084C,TUP1
YCR085W,,YCR085W,YCR085W
CSM1,,YCR086W,CSM1
YCR087W,,YCR087W,YCR087W
YCR087C-A,,YCR087C-A,YCR087C-A
ABP1,,YCR088W,ABP1
FIG2,,YCR089W,FIG2
YCR090C,,YCR090C,YCR090C
KIN82,,YCR091W,KIN82
MSH3,,YCR092C,MSH3
CDC39,,YCR093W,CDC39
CDC50,,YCR094W,CDC50
OCA4,,YCR095C,OCA4
HMRA2,,YCR096C,HMRA2
HMRA1,,YCR097W,HMRA1
YCR097W-A,,YCR097W-A,YCR097W-A
GIT1,,YCR098C,GIT1
YCR099C,,YCR099C,YCR099C
YCR100C,,YCR100C,YCR100C
YCR101C,,YCR101C,YCR101C
YCR102C,,YCR102C,YCR102C
YCR102W-A,,YCR102W-A,YCR102W-A
PAU3,,YCR104W,PAU3
ADH7,,YCR105W,ADH7
RDS1,,YCR106W,RDS1
AAD3,,YCR107W,AAD3
COS7,,YDL248W,COS7
MPH2,,YDL247W,MPH2
SOR2,,YDL246C,SOR2
HXT15,,YDL245C,HXT15
THI13,,YDL244W,THI13
AAD4,,YDL243C,AAD4
YDL242W,,YDL242W,YDL242W
YDL241W,,YDL241W,YDL241W
YDL240C-A,,YDL240C-A,YDL240C-A
LRG1,,YDL240W,LRG1
ADY3,,YDL239C,ADY3
GUD1,,YDL238C,GUD1
AIM6,,YDL237W,AIM6
PHO13,,YDL236W,PHO13
YPD1,,YDL235C,YPD1
GYP7,,YDL234C,GYP7
MFG1,,YDL233W,MFG1
OST4,,YDL232W,OST4
BRE4,,YDL231C,BRE4
PTP1,,YDL230W,PTP1
SSB1,,YDL229W,SSB1
YDL228C,,YDL228C,YDL228C
Ho,,YDL227C,Ho
GCS1,,YDL226C,GCS1
SHS1,,YDL225W,SHS1
WHI4,,YDL224C,WHI4
HBT1,,YDL223C,HBT1
FMP45,,YDL222C,FMP45
YDL221W,,YDL221W,YDL221W
CDC13,,YDL220C,CDC13
DTD1,,YDL219W,DTD1
YDL218W,,YDL218W,YDL218W
TIM22,,YDL217C,TIM22
RRI1,,YDL216C,RRI1
GDH2,,YDL215C,GDH2
PRR2,,YDL214C,PRR2
NOP6,,YDL213C,NOP6
SHR3,,YDL212W,SHR3
YDL211C,,YDL211C,YDL211C
UGA4,,YDL210W,UGA4
CWC2,,YDL209C,CWC2
NHP2,,YDL208W,NHP2
GLE1,,YDL207W,GLE1
YDL206W,,YDL206W,YDL206W
HEM3,,YDL205C,HEM3
RTN2,,YDL204W,RTN2
ACK1,,YDL203C,ACK1
MRPL11,,YDL202W,MRPL11
TRM8,,YDL201W,TRM8
MGT1,,YDL200C,MGT1
YDL199C,,YDL199C,YDL199C
GGC1,,YDL198C,GGC1
ASF2,,YDL197C,ASF2
YDL196W,,YDL196W,YDL196W
SEC31,,YDL195W,SEC31
